Item|Qtd|Tipo|Marca|Valor Unit.|Valor Total
Placa|60|2x1||700|42000
Placa|64|1x1||500|32000
P\'e Madeira|32|20cm||15|480
P\'e Madeira|16|40cm||15|240
P\'e Madeira|16|60cm||15|240
P\'e Alum\'inio|16|60-100cm||150|2400
Escada|2|||150|300
