DATA|ID|HIST\'ORICO|ENTRADA|SA\'IDA|SALDO|ENTRADA ($)|SA\'IDA ($)|BALANÇO
||In\'icio|||0|0|0|0
21/03/2020|im0320|RoletaRussa |25||25|84.75|0|-84.75
09/03/2020|14|\'Aureo ||1|24|0|15|-69.75
