id|data|compra|preços|total|obs
da0320|03/03/2020|30 x Chope-DryStout; 15 x Chope-IPA; 390 x Chope-Pilsen; 40 x Outros-TiraCopos300; 73 x PET-IPA; 52 x PET-Pilsen; |$12.00; $8.50; $5.00; $5.00; $14.80; $9.60; |4217.1|
im0320|03/03/2020|18 x G500-APA; 6 x G500-ImperialIPA; 12 x G500-IPA; 12 x G500-NewEnglandIPA; 12 x G500-PilsenExport; 12 x G500-PilsenPremium; 24 x G500-SessionIPA; 24 x G500-Weiss; 25 x GLong-EasyIPA; 30 x GLong-Framboesa; 4 x GLong-Maracuj\'a; 93 x GLong-Pilsen; 100 x Lata-EasyIPA; 6 x Lata-ImperialIPA; 18 x Lata-NewEnglandIPA; |$9.94; $11.80; $10.14; $11.14; $7.22; $6.94; $9.60; $7.59; $3.39; $4.01; $4.01; $3.03; $2.72; $5.08; $3.71; |1959.7|
3391|06/03/2020|45 x Chope-GermanPilsner; 90 x Chope-IPA; 135 x Chope-Pilsen; |$7.00; $8.50; $5.00; |1755|
lj0320|06/03/2020|15 x Chope-GermanPilsner; |$7.00; |105|
3705|17/03/2020|45 x Chope-GermanPilsner; 55 x Chope-IPA; |$7.00; $8.50; |782.5|
