FORNECEDOR|SUBTOTAL COMPRAS (R$)|SUBTOTAL VENDAS (R$)|SALDO         (R$)|ESTOQUE        (R$)|CAPITAL        (R$)
Dalla|7059.6|4710.2|-2349.4|3666.8|1639.9
RoletaRussa|1189.49|55|-1134.49|1188.68|54.19
Imigraç\~ao|633.87|472.8|-161.07|552.72|391.65
Barbarella|136.34|0|-136.34|141.44|5.1
