N|DATA|ID|HISTÓRICO|ENTRADA|SAÍDA|SALDO|ENTRADA ($)|SAÍDA ($)|BALANÇO
0|2020/02/12||Kairós: (1x30)|30|0|30|324|0|-324
1|2020/02/20|ka10378|Kairós|30|0|60|324|0|-648
2|2020/02/21|12|L'jaica (Bar)|0|60|0|0|1800|1152
3|2020/02/28|ka10524|Kairós|60|0|60|648|0|504
