N|DATA|ID|HISTÓRICO|ENTRADA|SAÍDA|SALDO|ENTRADA ($)|SAÍDA ($)|BALANÇO
0|2020/02/27|ka2189|Kairós|60|0|60|1189.2|0|-1189.2
1|2020/02/27|25|L'jaica (Bar)|0|30|30|0|1200|10.8
