N|DATA|ID|HISTÓRICO|ENTRADA|SAÍDA|SALDO|ENTRADA ($)|SAÍDA ($)|BALANÇO
0|2020/02/12|da1002|Dalla|60|0|60|534|0|-534
1|2020/02/21|16|L'jaica (Bar)|0|30|30|0|450|-84
2|2020/03/06|da1004|Dalla|45|0|75|400.5|0|-484.5
3|2020/03/06|33|L'jaica (Bar)|0|15|60|0|450|-34.5
4|2020/03/17|da3705|Dalla|45|0|105|400.5|0|-435
5|2020/03/17|43|L'jaica (Bar) Turma de Medicina|0|30|75|0|360|-75
6|2020/03/18|21|L'jaica (Bar)|0|30|45|0|660|585
