N|DATA|ID|HISTÓRICO|ENTRADA|SAÍDA|SALDO|ENTRADA ($)|SAÍDA ($)|BALANÇO
2|2020/03/03|da0320|Dalla|15|0|15|127.5|0|-127.5
3|2020/03/06|da3391|Dalla|90|0|105|765|0|-892.5
4|2020/03/06|1|L'jaica|0|45|60|0|225|-667.5
5|2020/03/05|2|L'jaica|0|15|45|0|133.5|-534
5|2020/03/30|15|L'jaica|0|45|0|0|720|186
6|2020/03/17|da3705|Dalla|55|0|55|467.5|0|-281.5
6|2020/04/10|17|?|0|45|10|0|45|-236.5
