N|DATA|ID|HISTÓRICO|ENTRADA|SAÍDA|SALDO|ENTRADA ($)|SAÍDA ($)|BALANÇO
1|2020/03/23|ro21441|RoletaRussa|60|0|60|448.8|0|-448.8
2|21/03/2020|im0320|Imigração|12||12|86.64|0|-86.64
