N|DATA|ID|HISTÓRICO|ENTRADA|SAÍDA|SALDO|ENTRADA ($)|SAÍDA ($)|BALANÇO
1|2020/03/23|ro21441|RoletaRussa|60|0|60|431.4|0|-431.4
2|2020/03/03|im0320|Imigração|12|0|72|83.28|0|-514.68
