N|DATA|ID|HISTÓRICO|ENTRADA|SAÍDA|SALDO|ENTRADA ($)|SAÍDA ($)|BALANÇO
1|2020/03/23|ro21441|RoletaRussa|12|0|12|49.92|0|-49.92
2|2020/03/03|im0320|Barbarella|4|0|16|16.04|0|-65.96
