chopeira|tipo|recolhido
C1|1 Torneira|True
C2|1 Torneira|True
C3|1 Torneira|True
C4|1 Torneira|True
C5|1 Torneira|True
C6|1 Torneira|True
C7|2 Torneiras|True
C8|2 Torneiras|True
