N|DATA|ID|HISTÓRICO|ENTRADA|SAÍDA|SALDO|ENTRADA ($)|SAÍDA ($)|BALANÇO
0|2020/02/12||Kairós (1x30)|30|0|30|324|0|-324
1|2020/02/21|17|L'jaica (Bar) |0|30|0|0|900|576
