DATA|ID|HIST\'ORICO|ENTRADA|SA\'IDA|SALDO|ENTRADA ($)|SA\'IDA ($)|BALANÇO
||In\'icio|||0|0|0|0
27/02/2020|ka2189|Kair\'os |60||60|1189.2|0|-1189.2
27/02/2020|25|L'jaica (Bar)||30|30|0|1200|10.8
