FORNECEDOR|SUBTOTAL COMPRAS (R$)|SUBTOTAL VENDAS (R$)|SALDO         (R$)|ESTOQUE        (R$)|CAPITAL        (R$)
Dalla|1251|4176.6|2925.6|2441.7|5367.3
Kair\'os|0|1342.2|1342.2|7349|8691.2
Lassberg|0|760|760|0|760
