DATA|ID|HIST\'ORICO|ENTRADA|SA\'IDA|SALDO|ENTRADA ($)|SA\'IDA ($)|BALANÇO
||In\'icio|||0|0|0|0
12/02/2020|da1002|Dalla |60||60|534|0|-534
21/02/2020|16|L'jaica (Bar)||30|30|0|450|-84
18/03/2020|21|L'jaica (Bar)||30|0|0|660|576
06/03/2020|da1004|Dalla |45||45|400.5|0|175.5
06/03/2020|33|L'jaica (Bar) ||15|30|0|450|625.5
17/03/2020|da3705|Dalla |45||75|400.5|0|225
17/03/2020|43|L'jaica (Bar) Turma de Medicina||30|0|0|360|0
