N|DATA|ID|HISTÓRICO|ENTRADA|SAÍDA|SALDO|ENTRADA ($)|SAÍDA ($)|BALANÇO
0|2020/02/11|da1001|Dalla |15|0|15|118.5|0|-118.5
1|2020/03/18|21|L'jaica (Bar) |0|15|0|0|330|211.5
