N|DATA|ID|HISTÓRICO|ENTRADA|SAÍDA|SALDO|ENTRADA ($)|SAÍDA ($)|BALANÇO
0|2020/02/12||Kairós (2x20)|40|0|40|560|0|-560
1|2020/02/13|13|L'jaica (Bar) |0|40|0|0|1200|640
2|2020/02/20|ka10378|Kairós |60|0|60|840|0|-200
3|2020/02/20|14|L'jaica (Bar) |0|20|40|0|600|400
